protein_id,node_id
240093,687
240316,688
240328,689
240361,690
240364,691
240423,692
240652,693
240851,694
240874,695
240922,696
241041,697
241052,698
241125,699
241305,700
241337,701
242057,702
242067,703
242140,704
242257,705
242285,706
242375,707
242576,708
242591,709
242592,710
242719,711
242784,712
242786,713
242839,714
242994,715
243052,716
243056,717
243077,718
243167,719
243298,720
243347,721
243349,722
243389,723
243457,724
243501,725
243563,726
243578,727
243611,728
243644,729
243706,730
243776,731
243786,732
243878,733
243903,734
243911,735
243918,736
243924,737
244007,738
244020,739
244040,740
244043,741
244050,742
244061,743
244137,744
244174,745
244227,746
244241,747
244289,748
244336,749
244496,750
244513,751
244520,752
244534,753
244565,754
244571,755
244573,756
244669,757
244709,758
244745,759
244763,760
244769,761
244926,762
244930,763
245046,764
245121,765
245157,766
245206,767
245255,768
245304,769
245451,770
245479,771
245539,772
245543,773
245552,774
245615,775
245787,776
245816,777
245838,778
245923,779
245932,780
245960,781
246006,782
246024,783
246062,784
246069,785
246070,786
246080,787
246105,788
246186,789
246337,790
246515,791
246529,792
246532,793
246535,794
246548,795
246635,796
246657,797
246662,798
246672,799
246747,800
246792,801
246794,802
246801,803
246802,804
246841,805
246868,806
246895,807
246912,808
247026,809
247178,810
247194,811
247225,812
247226,813
247270,814
247271,815
247306,816
247470,817
247665,818
247668,819
247706,820
247933,821
247970,822
247977,823
247986,824
248071,825
248098,826
248114,827
248121,828
248150,829
248248,830
248342,831
248437,832
248444,833
248553,834
248564,835
248572,836
248594,837
248598,838
248600,839
248633,840
248643,841
248846,842
248901,843
248929,844
249014,845
249066,846
249071,847
249075,848
249330,849
249344,850
249356,851
249389,852
249396,853
249442,854
249700,855
249749,856
249750,857
249776,858
249806,859
249923,860
250024,861
250092,862
250101,863
250113,864
250160,865
250237,866
250263,867
250340,868
250378,869
250405,870
250416,871
250448,872
250454,873
250495,874
250498,875
250535,876
250617,877
250823,878
250831,879
250916,880
250974,881
251020,882
251119,883
251143,884
251166,885
251203,886
251250,887
251303,888
251363,889
251412,890
251413,891
251472,892
251496,893
251507,894
251535,895
251566,896
251582,897
251595,898
251636,899
251642,900
251645,901
251646,902
251768,903
251775,904
251810,905
251864,906
251900,907
251921,908
251968,909
251993,910
252011,911
252032,912
252037,913
252050,914
252100,915
252242,916
252244,917
252245,918
252250,919
252252,920
252268,921
252321,922
252456,923
252483,924
252486,925
252506,926
252512,927
252530,928
252542,929
252575,930
252590,931
252602,932
252622,933
252674,934
252711,935
252723,936
252804,937
252809,938
252818,939
252825,940
252826,941
252939,942
252951,943
252992,944
252996,945
252999,946
253023,947
253024,948
253031,949
253039,950
253048,951
253079,952
253083,953
253107,954
253115,955
253237,956
253247,957
253270,958
253329,959
253363,960
253381,961
253408,962
253413,963
253457,964
253577,965
253669,966
253693,967
253719,968
253778,969
253794,970
253801,971
253814,972
253861,973
253925,974
254029,975
254037,976
254090,977
254101,978
254108,979
254193,980
254301,981
254322,982
254325,983
254336,984
254436,985
254480,986
254488,987
254508,988
254521,989
254528,990
254605,991
254616,992
254624,993
254657,994
254667,995
254695,996
254730,997
254759,998
254770,999
254799,1000
254803,1001
254810,1002
254816,1003
254846,1004
254868,1005
254878,1006
254898,1007
254928,1008
254940,1009
254942,1010
254958,1011
254976,1012
255006,1013
255039,1014
255040,1015
255082,1016
255120,1017
255189,1018
255192,1019
255194,1020
255198,1021
255262,1022
255304,1023
255324,1024
255380,1025
255381,1026
255389,1027
255390,1028
255465,1029
255499,1030
255631,1031
255641,1032
255882,1033
256001,1034
256010,1035
256078,1036
256079,1037
256104,1038
256178,1039
256190,1040
256194,1041
256196,1042
256257,1043
256319,1044
256383,1045
256404,1046
256433,1047
256447,1048
256458,1049
256460,1050
256495,1051
256497,1052
256509,1053
256538,1054
256544,1055
256545,1056
256592,1057
256593,1058
256637,1059
256644,1060
256646,1061
256689,1062
256737,1063
256785,1064
256854,1065
256858,1066
256958,1067
256996,1068
256999,1069
257068,1070
257118,1071
257177,1072
257189,1073
257198,1074
257215,1075
257245,1076
257248,1077
257290,1078
257336,1079
257347,1080
257359,1081
257408,1082
257414,1083
257430,1084
257549,1085
257552,1086
257600,1087
257604,1088
257663,1089
257696,1090
257700,1091
257749,1092
257770,1093
257789,1094
257818,1095
257829,1096
257836,1097
257861,1098
257868,1099
257901,1100
257904,1101
257905,1102
257909,1103
257910,1104
258052,1105
258080,1106
258083,1107
258091,1108
258098,1109
258105,1110
258106,1111
258145,1112
258149,1113
258173,1114
258198,1115
258200,1116
258201,1117
258301,1118
258399,1119
258400,1120
258415,1121
258418,1122
258424,1123
258428,1124
258436,1125
258455,1126
258457,1127
258484,1128
258494,1129
258538,1130
258654,1131
258662,1132
258729,1133
258739,1134
258770,1135
258774,1136
258787,1137
258873,1138
258884,1139
258886,1140
258930,1141
258955,1142
258962,1143
258969,1144
258975,1145
258991,1146
259037,1147
259056,1148
259075,1149
259089,1150
259154,1151
259199,1152
259206,1153
259216,1154
259229,1155
259254,1156
259335,1157
259339,1158
259351,1159
259365,1160
259392,1161
259396,1162
259400,1163
259407,1164
259455,1165
259456,1166
259457,1167
259467,1168
259470,1169
259486,1170
259512,1171
259526,1172
259569,1173
259631,1174
259632,1175
259633,1176
259667,1177
259708,1178
259711,1179
259727,1180
259750,1181
259782,1182
259808,1183
259818,1184
259845,1185
259873,1186
259915,1187
259938,1188
259939,1189
260045,1190
260102,1191
260113,1192
260118,1193
260128,1194
260129,1195
260187,1196
260197,1197
260210,1198
260227,1199
260247,1200
260270,1201
260276,1202
260302,1203
260356,1204
260363,1205
260372,1206
260383,1207
260385,1208
260386,1209
260508,1210
260526,1211
260563,1212
260585,1213
260643,1214
260649,1215
260665,1216
260682,1217
260702,1218
260731,1219
260746,1220
260810,1221
260818,1222
260947,1223
260950,1224
260953,1225
260970,1226
260983,1227
260988,1228
261007,1229
261015,1230
261023,1231
261024,1232
261037,1233
261070,1234
261167,1235
261172,1236
261183,1237
261191,1238
261196,1239
261205,1240
261208,1241
261211,1242
261233,1243
261245,1244
261250,1245
261254,1246
261263,1247
261267,1248
261292,1249
261296,1250
261303,1251
261304,1252
261308,1253
261313,1254
261318,1255
261349,1256
261374,1257
261377,1258
261381,1259
261396,1260
261416,1261
261427,1262
261435,1263
261438,1264
261441,1265
261448,1266
261464,1267
261475,1268
261479,1269
261483,1270
261497,1271
261499,1272
261503,1273
261507,1274
261523,1275
261534,1276
261537,1277
261558,1278
261574,1279
261588,1280
261590,1281
261596,1282
261609,1283
261622,1284
261623,1285
261636,1286
261643,1287
261647,1288
261652,1289
261667,1290
261681,1291
261693,1292
261700,1293
261707,1294
261714,1295
261716,1296
261721,1297
261733,1298
261735,1299
261739,1300
261745,1301
261758,1302
261769,1303
261772,1304
261776,1305
261778,1306
261783,1307
261789,1308
261797,1309
261798,1310
261799,1311
261800,1312
261819,1313
261839,1314
261845,1315
261858,1316
261861,1317
261866,1318
261875,1319
261880,1320
261881,1321
261884,1322
261889,1323
261890,1324
261892,1325
261893,1326
261917,1327
261921,1328
261942,1329
261978,1330
261980,1331
262013,1332
262018,1333
262027,1334
262030,1335
262031,1336
262039,1337
262041,1338
262043,1339
262053,1340
262067,1341
262094,1342
262103,1343
262105,1344
262113,1345
262120,1346
262127,1347
262133,1348
262134,1349
262138,1350
262139,1351
262158,1352
262160,1353
262177,1354
262178,1355
262187,1356
262188,1357
262193,1358
262198,1359
262207,1360
262213,1361
262215,1362
262219,1363
262238,1364
262241,1365
262265,1366
262290,1367
262291,1368
262294,1369
262304,1370
262305,1371
262306,1372
262319,1373
262320,1374
262367,1375
262370,1376
