protein_id,group
9606.ENSP00000377840,Transporter
9606.ENSP00000496954,Transporter
9606.ENSP00000236495,Transporter
9606.ENSP00000309945,Transporter
9606.ENSP00000367081,Transporter
9606.ENSP00000335292,Transporter
9606.ENSP00000357998,Transporter
9606.ENSP00000267889,Transporter
9606.ENSP00000368411,Transporter
9606.ENSP00000498322,Transporter
9606.ENSP00000248121,Transporter
9606.ENSP00000306497,Transporter
9606.ENSP00000396915,Transporter
9606.ENSP00000259746,Transporter
9606.ENSP00000393066,Transporter
9606.ENSP00000488024,Transporter
9606.ENSP00000415011,Transporter
9606.ENSP00000328478,Transporter
9606.ENSP00000326693,Transporter
9606.ENSP00000387549,Transporter
9606.ENSP00000498533,Transporter
9606.ENSP00000419952,Transporter
9606.ENSP00000355577,Transporter
9606.ENSP00000225823,Transporter
9606.ENSP00000318960,Transporter
9606.ENSP00000385142,Transporter
9606.ENSP00000434364,Transporter
9606.ENSP00000365714,Transporter
9606.ENSP00000270349,Transporter
9606.ENSP00000306881,Transporter
9606.ENSP00000350786,Transporter
9606.ENSP00000215882,Transporter
9606.ENSP00000228318,Transporter
9606.ENSP00000354886,Transporter
9606.ENSP00000290374,Transporter
9606.ENSP00000289547,Transporter
9606.ENSP00000331727,Transporter
9606.ENSP00000218176,Transporter
9606.ENSP00000379531,Transporter
9606.ENSP00000359621,Transporter
9606.ENSP00000494468,Transporter
9606.ENSP00000294818,Transporter
9606.ENSP00000290310,Transporter
9606.ENSP00000346298,Transporter
9606.ENSP00000269740,Transporter
9606.ENSP00000261917,Transporter
9606.ENSP00000355920,Transporter
9606.ENSP00000360855,Transporter
9606.ENSP00000312811,Transporter
9606.ENSP00000326305,Transporter
9606.ENSP00000159087,Transporter
9606.ENSP00000332646,Transporter
9606.ENSP00000341963,Transporter
9606.ENSP00000371180,Transporter
9606.ENSP00000413496,Transporter
9606.ENSP00000286808,Transporter
9606.ENSP00000380659,Transporter
9606.ENSP00000384744,Transporter
9606.ENSP00000278426,Transporter
9606.ENSP00000452086,Transporter
9606.ENSP00000378145,Transporter
9606.ENSP00000295190,Transporter
9606.ENSP00000394168,Transporter
9606.ENSP00000419235,Transporter
9606.ENSP00000282146,Transporter
9606.ENSP00000498198,Transporter
9606.ENSP00000419126,Transporter
9606.ENSP00000355637,Transporter
9606.ENSP00000359172,Transporter
9606.ENSP00000343339,Transporter
9606.ENSP00000346955,Transporter
9606.ENSP00000339867,Transporter
9606.ENSP00000418994,Transporter
9606.ENSP00000487785,Transporter
9606.ENSP00000363329,Transporter
9606.ENSP00000262186,Transporter
9606.ENSP00000361635,Transporter
9606.ENSP00000389326,Transporter
9606.ENSP00000446242,Transporter
9606.ENSP00000371483,Transporter
9606.ENSP00000355192,Transporter
9606.ENSP00000476519,Transporter
9606.ENSP00000402760,Transporter
9606.ENSP00000284425,Transporter
9606.ENSP00000433295,Transporter
9606.ENSP00000294454,Transporter
9606.ENSP00000383698,Transporter
9606.ENSP00000231948,Transporter
9606.ENSP00000438949,Transporter
9606.ENSP00000480514,Transporter
9606.ENSP00000330199,Transporter
9606.ENSP00000490812,Transporter
9606.ENSP00000289932,Transporter
9606.ENSP00000222248,Transporter
9606.ENSP00000219207,Transporter
9606.ENSP00000348752,Transporter
9606.ENSP00000216540,Transporter
9606.ENSP00000373518,Transporter
9606.ENSP00000404265,Transporter
9606.ENSP00000275730,Transporter
9606.ENSP00000075120,Transporter
9606.ENSP00000322649,Transporter
9606.ENSP00000384881,Transporter
9606.ENSP00000443204,Transporter
9606.ENSP00000308122,Transporter
9606.ENSP00000262352,Transporter
9606.ENSP00000419101,Transporter
9606.ENSP00000307786,Transporter
9606.ENSP00000493351,Transporter
9606.ENSP00000254976,Transporter
9606.ENSP00000491377,Transporter
9606.ENSP00000352941,Transporter
9606.ENSP00000272542,Transporter
9606.ENSP00000378487,Transporter
9606.ENSP00000337452,Transporter
9606.ENSP00000365253,Transporter
9606.ENSP00000497423,Transporter
9606.ENSP00000369699,Transporter
9606.ENSP00000367173,Transporter
9606.ENSP00000418572,Transporter
9606.ENSP00000265113,Transporter
9606.ENSP00000259154,Transporter
9606.ENSP00000362135,Transporter
9606.ENSP00000258111,Transporter
9606.ENSP00000337335,Transporter
9606.ENSP00000251768,Transporter
9606.ENSP00000320247,Transporter
9606.ENSP00000354721,Transporter
9606.ENSP00000252590,Transporter
9606.ENSP00000262507,Transporter
9606.ENSP00000301454,Transporter
9606.ENSP00000255226,Transporter
9606.ENSP00000337618,Transporter
9606.ENSP00000363023,Transporter
9606.ENSP00000471683,Transporter
9606.ENSP00000277903,Enzyme
9606.ENSP00000366488,Enzyme
9606.ENSP00000243776,Enzyme
9606.ENSP00000310933,Enzyme
9606.ENSP00000262506,Enzyme
9606.ENSP00000375909,Enzyme
9606.ENSP00000478561,Enzyme
9606.ENSP00000360561,Enzyme
9606.ENSP00000360215,Enzyme
9606.ENSP00000349577,Enzyme
9606.ENSP00000300179,Enzyme
9606.ENSP00000337572,Enzyme
9606.ENSP00000264162,Enzyme
9606.ENSP00000353864,Enzyme
9606.ENSP00000344666,Enzyme
9606.ENSP00000400880,Enzyme
9606.ENSP00000380044,Enzyme
9606.ENSP00000472109,Enzyme
9606.ENSP00000359520,Enzyme
9606.ENSP00000300648,Enzyme
9606.ENSP00000306397,Enzyme
9606.ENSP00000301175,Enzyme
9606.ENSP00000458316,Enzyme
9606.ENSP00000445757,Enzyme
9606.ENSP00000221462,Enzyme
9606.ENSP00000484403,Enzyme
9606.ENSP00000393183,Enzyme
9606.ENSP00000398803,Enzyme
9606.ENSP00000490297,Enzyme
9606.ENSP00000325074,Enzyme
9606.ENSP00000370555,Enzyme
9606.ENSP00000337194,Enzyme
9606.ENSP00000381535,Enzyme
9606.ENSP00000358421,Enzyme
9606.ENSP00000363921,Enzyme
9606.ENSP00000254521,Enzyme
9606.ENSP00000460380,Enzyme
9606.ENSP00000364166,Enzyme
9606.ENSP00000414624,Enzyme
9606.ENSP00000330918,Enzyme
9606.ENSP00000328694,Enzyme
9606.ENSP00000443965,Enzyme
9606.ENSP00000301037,Enzyme
9606.ENSP00000280701,Enzyme
9606.ENSP00000324203,Enzyme
9606.ENSP00000368452,Enzyme
9606.ENSP00000280295,Enzyme
9606.ENSP00000362273,Enzyme
9606.ENSP00000495965,Enzyme
9606.ENSP00000348959,Enzyme
9606.ENSP00000387246,Enzyme
9606.ENSP00000478298,Enzyme
9606.ENSP00000264093,Enzyme
9606.ENSP00000354665,Enzyme
9606.ENSP00000362873,Enzyme
9606.ENSP00000361777,Enzyme
9606.ENSP00000333685,Enzyme
9606.ENSP00000364512,Enzyme
9606.ENSP00000482899,Enzyme
9606.ENSP00000476176,Enzyme
9606.ENSP00000357883,Enzyme
9606.ENSP00000180173,Enzyme
9606.ENSP00000301761,Enzyme
9606.ENSP00000466363,Enzyme
9606.ENSP00000294383,Enzyme
9606.ENSP00000282412,Enzyme
9606.ENSP00000483519,Enzyme
9606.ENSP00000359665,Enzyme
9606.ENSP00000359211,Enzyme
9606.ENSP00000411152,Enzyme
9606.ENSP00000370938,Enzyme
9606.ENSP00000296679,Enzyme
9606.ENSP00000368884,Enzyme
9606.ENSP00000417748,Enzyme
9606.ENSP00000256722,Enzyme
9606.ENSP00000358223,Enzyme
9606.ENSP00000263177,Enzyme
9606.ENSP00000348299,Enzyme
9606.ENSP00000455229,Enzyme
9606.ENSP00000312250,Enzyme
9606.ENSP00000322532,Enzyme
9606.ENSP00000387180,Enzyme
9606.ENSP00000396452,Enzyme
9606.ENSP00000437464,Enzyme
9606.ENSP00000386213,Enzyme
9606.ENSP00000332887,Enzyme
9606.ENSP00000419782,Enzyme
9606.ENSP00000354961,Enzyme
9606.ENSP00000365174,Enzyme
9606.ENSP00000418915,Enzyme
9606.ENSP00000359991,Enzyme
9606.ENSP00000381588,Enzyme
9606.ENSP00000370531,Enzyme
9606.ENSP00000294964,Enzyme
9606.ENSP00000378769,Enzyme
9606.ENSP00000409906,Enzyme
9606.ENSP00000427264,Enzyme
9606.ENSP00000268379,Enzyme
9606.ENSP00000452280,Enzyme
9606.ENSP00000366047,Enzyme
9606.ENSP00000397908,Enzyme
9606.ENSP00000479745,Enzyme
9606.ENSP00000391090,Enzyme
9606.ENSP00000417659,Enzyme
9606.ENSP00000483631,Enzyme
9606.ENSP00000353720,Enzyme
9606.ENSP00000258499,Enzyme
9606.ENSP00000350353,Enzyme
9606.ENSP00000398698,Enzyme
9606.ENSP00000313420,Enzyme
9606.ENSP00000263966,Enzyme
9606.ENSP00000401645,Enzyme
9606.ENSP00000375080,Enzyme
9606.ENSP00000378360,Enzyme
9606.ENSP00000452885,Enzyme
9606.ENSP00000361982,Enzyme
9606.ENSP00000204679,Enzyme
9606.ENSP00000216780,Enzyme
9606.ENSP00000302393,Enzyme
9606.ENSP00000321260,Enzyme
9606.ENSP00000376184,Enzyme
9606.ENSP00000469158,Enzyme
9606.ENSP00000305924,Enzyme
9606.ENSP00000499935,Enzyme
9606.ENSP00000376506,Enzyme
9606.ENSP00000417763,Enzyme
9606.ENSP00000289104,Enzyme
9606.ENSP00000480270,Enzyme
9606.ENSP00000480091,Enzyme
9606.ENSP00000336740,Enzyme
9606.ENSP00000295256,Enzyme
9606.ENSP00000369618,Enzyme
9606.ENSP00000419060,Enzyme
9606.ENSP00000283632,Enzyme
9606.ENSP00000301046,Enzyme
9606.ENSP00000369566,Enzyme
9606.ENSP00000385749,Enzyme
9606.ENSP00000311713,Enzyme
9606.ENSP00000452762,Enzyme
9606.ENSP00000497280,Enzyme
9606.ENSP00000385277,Enzyme
